id_dia,DescripcionDia,id_horario,fecha,hora_inicio,hora_fin
7541,Miercoles,1,2045-01-04,08:30:00,18:00:00
7542,Jueves,1,2045-01-05,08:30:00,18:00:00
7543,Viernes,1,2045-01-06,08:30:00,18:00:00
7544,Sabado,2,2045-01-07,08:30:00,13:00:00
7545,Domingo,2,2045-01-08,08:30:00,13:00:00
7546,Lunes,1,2045-01-09,08:30:00,18:00:00
7547,Martes,1,2045-01-10,08:30:00,18:00:00
7548,Miercoles,1,2045-01-11,08:30:00,18:00:00
7549,Jueves,1,2045-01-12,08:30:00,18:00:00
7550,Viernes,1,2045-01-13,08:30:00,18:00:00
7551,Sabado,2,2045-01-14,08:30:00,13:00:00
7552,Domingo,2,2045-01-15,08:30:00,13:00:00
7553,Lunes,1,2045-01-16,08:30:00,18:00:00
7554,Martes,1,2045-01-17,08:30:00,18:00:00
7555,Miercoles,1,2045-01-18,08:30:00,18:00:00
7556,Jueves,1,2045-01-19,08:30:00,18:00:00
7557,Viernes,1,2045-01-20,08:30:00,18:00:00
7558,Sabado,2,2045-01-21,08:30:00,13:00:00
7559,Domingo,2,2045-01-22,08:30:00,13:00:00
7560,Lunes,1,2045-01-23,08:30:00,18:00:00
7561,Martes,1,2045-01-24,08:30:00,18:00:00
7562,Miercoles,1,2045-01-25,08:30:00,18:00:00
7563,Jueves,1,2045-01-26,08:30:00,18:00:00
7564,Viernes,1,2045-01-27,08:30:00,18:00:00
7565,Sabado,2,2045-01-28,08:30:00,13:00:00
7566,Domingo,2,2045-01-29,08:30:00,13:00:00
7567,Lunes,1,2045-01-30,08:30:00,18:00:00
7568,Martes,1,2045-01-31,08:30:00,18:00:00
7569,Miercoles,1,2045-02-01,08:30:00,18:00:00
7570,Jueves,1,2045-02-02,08:30:00,18:00:00
7571,Viernes,1,2045-02-03,08:30:00,18:00:00
7572,Sabado,2,2045-02-04,08:30:00,13:00:00
7573,Domingo,2,2045-02-05,08:30:00,13:00:00
7574,Lunes,1,2045-02-06,08:30:00,18:00:00
7575,Martes,1,2045-02-07,08:30:00,18:00:00
7576,Miercoles,1,2045-02-08,08:30:00,18:00:00
7577,Jueves,1,2045-02-09,08:30:00,18:00:00
7578,Viernes,1,2045-02-10,08:30:00,18:00:00
7579,Sabado,2,2045-02-11,08:30:00,13:00:00
7580,Domingo,2,2045-02-12,08:30:00,13:00:00
7581,Lunes,1,2045-02-13,08:30:00,18:00:00
7582,Martes,1,2045-02-14,08:30:00,18:00:00
7583,Miercoles,1,2045-02-15,08:30:00,18:00:00
7584,Jueves,1,2045-02-16,08:30:00,18:00:00
7585,Viernes,1,2045-02-17,08:30:00,18:00:00
7586,Sabado,2,2045-02-18,08:30:00,13:00:00
7587,Domingo,2,2045-02-19,08:30:00,13:00:00
7588,Lunes,1,2045-02-20,08:30:00,18:00:00
7589,Martes,1,2045-02-21,08:30:00,18:00:00
7590,Miercoles,1,2045-02-22,08:30:00,18:00:00
7591,Jueves,1,2045-02-23,08:30:00,18:00:00
7592,Viernes,1,2045-02-24,08:30:00,18:00:00
7593,Sabado,2,2045-02-25,08:30:00,13:00:00
7594,Domingo,2,2045-02-26,08:30:00,13:00:00
7595,Lunes,1,2045-02-27,08:30:00,18:00:00
7596,Martes,1,2045-02-28,08:30:00,18:00:00
7597,Miercoles,1,2045-03-01,08:30:00,18:00:00
7598,Jueves,1,2045-03-02,08:30:00,18:00:00
7599,Viernes,1,2045-03-03,08:30:00,18:00:00
7600,Sabado,2,2045-03-04,08:30:00,13:00:00
7601,Domingo,2,2045-03-05,08:30:00,13:00:00
7602,Lunes,1,2045-03-06,08:30:00,18:00:00
7603,Martes,1,2045-03-07,08:30:00,18:00:00
7604,Miercoles,1,2045-03-08,08:30:00,18:00:00
7605,Jueves,1,2045-03-09,08:30:00,18:00:00
7606,Viernes,1,2045-03-10,08:30:00,18:00:00
7607,Sabado,2,2045-03-11,08:30:00,13:00:00
7608,Domingo,2,2045-03-12,08:30:00,13:00:00
7609,Lunes,1,2045-03-13,08:30:00,18:00:00
7610,Martes,1,2045-03-14,08:30:00,18:00:00
7611,Miercoles,1,2045-03-15,08:30:00,18:00:00
7612,Jueves,1,2045-03-16,08:30:00,18:00:00
7613,Viernes,1,2045-03-17,08:30:00,18:00:00
7614,Sabado,2,2045-03-18,08:30:00,13:00:00
7615,Domingo,2,2045-03-19,08:30:00,13:00:00
7616,Lunes,1,2045-03-20,08:30:00,18:00:00
7617,Martes,1,2045-03-21,08:30:00,18:00:00
7618,Miercoles,1,2045-03-22,08:30:00,18:00:00
7619,Jueves,1,2045-03-23,08:30:00,18:00:00
7620,Viernes,1,2045-03-24,08:30:00,18:00:00
7621,Sabado,2,2045-03-25,08:30:00,13:00:00
7622,Domingo,2,2045-03-26,08:30:00,13:00:00
7623,Lunes,1,2045-03-27,08:30:00,18:00:00
7624,Martes,1,2045-03-28,08:30:00,18:00:00
7625,Miercoles,1,2045-03-29,08:30:00,18:00:00
7626,Jueves,1,2045-03-30,08:30:00,18:00:00
7627,Viernes,1,2045-03-31,08:30:00,18:00:00
7628,Sabado,2,2045-04-01,08:30:00,13:00:00
7629,Domingo,2,2045-04-02,08:30:00,13:00:00
7630,Lunes,1,2045-04-03,08:30:00,18:00:00
7631,Martes,1,2045-04-04,08:30:00,18:00:00
7632,Miercoles,1,2045-04-05,08:30:00,18:00:00
7633,Jueves,1,2045-04-06,08:30:00,18:00:00
7634,Viernes,1,2045-04-07,08:30:00,18:00:00
7635,Sabado,2,2045-04-08,08:30:00,13:00:00
7636,Domingo,2,2045-04-09,08:30:00,13:00:00
7637,Lunes,1,2045-04-10,08:30:00,18:00:00
7638,Martes,1,2045-04-11,08:30:00,18:00:00
7639,Miercoles,1,2045-04-12,08:30:00,18:00:00
7640,Jueves,1,2045-04-13,08:30:00,18:00:00
7641,Viernes,1,2045-04-14,08:30:00,18:00:00
7642,Sabado,2,2045-04-15,08:30:00,13:00:00
7643,Domingo,2,2045-04-16,08:30:00,13:00:00
7644,Lunes,1,2045-04-17,08:30:00,18:00:00
7645,Martes,1,2045-04-18,08:30:00,18:00:00
7646,Miercoles,1,2045-04-19,08:30:00,18:00:00
7647,Jueves,1,2045-04-20,08:30:00,18:00:00
7648,Viernes,1,2045-04-21,08:30:00,18:00:00
7649,Sabado,2,2045-04-22,08:30:00,13:00:00
7650,Domingo,2,2045-04-23,08:30:00,13:00:00
7651,Lunes,1,2045-04-24,08:30:00,18:00:00
7652,Martes,1,2045-04-25,08:30:00,18:00:00
7653,Miercoles,1,2045-04-26,08:30:00,18:00:00
7654,Jueves,1,2045-04-27,08:30:00,18:00:00
7655,Viernes,1,2045-04-28,08:30:00,18:00:00
7656,Sabado,2,2045-04-29,08:30:00,13:00:00
7657,Domingo,2,2045-04-30,08:30:00,13:00:00
7658,Lunes,1,2045-05-01,08:30:00,18:00:00
7659,Martes,1,2045-05-02,08:30:00,18:00:00
7660,Miercoles,1,2045-05-03,08:30:00,18:00:00
7661,Jueves,1,2045-05-04,08:30:00,18:00:00
7662,Viernes,1,2045-05-05,08:30:00,18:00:00
7663,Sabado,2,2045-05-06,08:30:00,13:00:00
7664,Domingo,2,2045-05-07,08:30:00,13:00:00
7665,Lunes,1,2045-05-08,08:30:00,18:00:00
7666,Martes,1,2045-05-09,08:30:00,18:00:00
7667,Miercoles,1,2045-05-10,08:30:00,18:00:00
7668,Jueves,1,2045-05-11,08:30:00,18:00:00
7669,Viernes,1,2045-05-12,08:30:00,18:00:00
7670,Sabado,2,2045-05-13,08:30:00,13:00:00
7671,Domingo,2,2045-05-14,08:30:00,13:00:00
7672,Lunes,1,2045-05-15,08:30:00,18:00:00
7673,Martes,1,2045-05-16,08:30:00,18:00:00
7674,Miercoles,1,2045-05-17,08:30:00,18:00:00
7675,Jueves,1,2045-05-18,08:30:00,18:00:00
7676,Viernes,1,2045-05-19,08:30:00,18:00:00
7677,Sabado,2,2045-05-20,08:30:00,13:00:00
7678,Domingo,2,2045-05-21,08:30:00,13:00:00
7679,Lunes,1,2045-05-22,08:30:00,18:00:00
7680,Martes,1,2045-05-23,08:30:00,18:00:00
7681,Miercoles,1,2045-05-24,08:30:00,18:00:00
7682,Jueves,1,2045-05-25,08:30:00,18:00:00
7683,Viernes,1,2045-05-26,08:30:00,18:00:00
7684,Sabado,2,2045-05-27,08:30:00,13:00:00
7685,Domingo,2,2045-05-28,08:30:00,13:00:00
7686,Lunes,1,2045-05-29,08:30:00,18:00:00
7687,Martes,1,2045-05-30,08:30:00,18:00:00
7688,Miercoles,1,2045-05-31,08:30:00,18:00:00
7689,Jueves,1,2045-06-01,08:30:00,18:00:00
7690,Viernes,1,2045-06-02,08:30:00,18:00:00
7691,Sabado,2,2045-06-03,08:30:00,13:00:00
7692,Domingo,2,2045-06-04,08:30:00,13:00:00
7693,Lunes,1,2045-06-05,08:30:00,18:00:00
7694,Martes,1,2045-06-06,08:30:00,18:00:00
7695,Miercoles,1,2045-06-07,08:30:00,18:00:00
7696,Jueves,1,2045-06-08,08:30:00,18:00:00
7697,Viernes,1,2045-06-09,08:30:00,18:00:00
7698,Sabado,2,2045-06-10,08:30:00,13:00:00
7699,Domingo,2,2045-06-11,08:30:00,13:00:00
